AchievementUI,43746,"狩猎"
AchievementUI,43870,"288.3k"
AchievementUI,43790,"王朝副本挑战次数达到5"
AchievementUI,43794,"4/5"
AchievementUI,43828,"已完成"
AchievementUI,43838,"领取"
AchievementUI,43832,"领取"
ArenaRankUpUI,43970,"New Text"
ArenaRankUpUI,43986,"排名突破："
ArenaRankUpUI,43990,"300名"
ArenaRankUpUI,43966,"突破奖励："
ArenaRankUpUI,43982,"100"
ArenaUI,44778,"产出总览"
ArenaUI,44472,"罪犯详情"
ArenaUI,44492,"New Text"
ArenaUI,44536,"99999"
ArenaUI,44772,"产出总览"
ArenaUI,44456,"罪犯详情"
ArenaUI,44468,"New Text"
ArenaUI,44514,"99999"
ArenaUI,44330,"New Text"
ArenaUI,44320,"罪犯详情"
ArenaUI,44336,"21141"
ArenaUI,44348,"罪犯详情"
ArenaUI,44386,"New Text"
ArenaUI,44532,"272727"
ArenaUI,44480,"272727"
ArenaUI,44356,"阵容"
ArenaUI,44370,"New Text"
ArenaUI,44376,"狩猎"
ArenaUI,44650,"288.3k"
ArenaUseVitalityUI,44900,"物品使用"
ArenaUseVitalityUI,44916,"New Text"
ArenaUseVitalityUI,44942,"New Text"
ArenaUseVitalityUI,45008,"不再提示"
ArenaUseVitalityUI,44992,"确定"
ArenaUseVitalityUI,44998,"+10"
ArenaUseVitalityUI,44984,"-10"
ArenaUseVitalityUI,44980,"99"
ArenaUseVitalityUI,45002,"取消"
ArenReportUI,45272,"扫荡结束"
ArenReportUI,45318,"第一波"
ArenReportUI,45194,"New Text"
ArenReportUI,45198,"New Text"
ArenReportUI,45298,"美金: "
ArenReportUI,45304,"10000"
ArenReportUI,45308,"第一波"
ArenReportUI,45294,"10000"
ArenReportUI,45266,"美金: "
ArenReportUI,45262,"10000"
ArenReportUI,45312,"美金: "
ArenReportUI,45250,"10000"
ArenReportUI,45244,"美金: "
ArenReportUI,45332,"1000"
ArmWrestlingUI,45580,"玩家名字"
ArmWrestlingUI,45600,"挑战次数"
ArmWrestlingUI,45576,"PRESS"
ArmWrestlingUI,45610,"YOU WIN!!"
ArmWrestlingUI,45618,"YOU LOSE!!"
ArmWrestlingUI,45506,"27"
ArmWrestlingUI,45548,"培训栏: <color=#01d12e>1/3</color>"
BabyBornUI,45686,"New Text"
BabyBornUI,45682,"New Text"
BabyBornUI,45716,"方法"
BabyBornUI,45722,"方法"
BagUI,46272,"狩猎"
BagUI,46640,"288.3k"
BagUI,46822,"道具"
BagUI,46928,"道具"
BagUI,46868,"道具"
BagUI,46932,"道具"
BagUI,46922,"1000"
BagUI,46858,"物品名字"
BagUI,46704,"这是物品描述11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"
BagUI,46898,"领取"
BagUI,46916,"领取"
BagUI,46904,"领取"
BagUI,46322,"当前没有后宫道具!"
BagUI,46468,"使用"
BagUI,46510,"X"
BagUI,46294,"物品名称"
BagUI,46232,"当前拥有：4个"
BagUI,46456,"输入数字"
BagUI,46714,"4"
BagUI,46678,"-"
BagUI,46700,"+"
BagUI,46648,"-10"
BagUI,46686,"+10"
BagUI,46314,"取消"
BagUI,46224,"确定"
BagUI,46246,"New Text"
BagUI,46260,"可以从以下奖励选取一种"
BagUI,46910,"1000"
BagUI,46652,"New Text111"
BagUI,46236,"批量使用:"
BagUI,46718,"-10"
BagUI,46674,"输入数字"
BagUI,46670,"10"
BagUI,46682,"+10"
BagUI,46708,"领取"
BagUI,46284,"拥有:100"
BagUI,46250,"一键使用"
BagUI,46530,"X"
BagUI,46814,"x4"
BagUI,46830,"物品名称"
BagUI,46298,"使用完成"
BarUI,47470,"玩家名字"
BarUI,47474,"挑战次数"
BarUI,47396,"当前没有后宫道具!"
BarUI,47454,"玩家名字"
BarUI,47406,"挑战次数"
BarUI,47416,"当前没有后宫道具!"
BarUI,47168,"大堂"
BarUI,47200,"点击前往"
BarUI,47184,"大堂"
BarUI,47152,"点击前往"
BarUI,47162,"领取"
BarUI,47174,"点击前往"
BarUI,47194,"领取"
BarUI,47134,"点击前往"
BarUI,47180,"XX: XX: XX后刷新头目"
BarUI,47190,"每日刷新时间"
BarUI,47140,"今日剩余刷新<color=#01d12e>10</color>次"
BarUI,47314,"刷新"
BarUI,47442,"1000"
BarUI,47292,"一键挑战"
BarUI,47330,"培训栏: <color=#01d12e>1/3</color>"
BattleDetailUI,47860,"Toggle"
BattleDetailUI,48300,"New Text"
BattleDetailUI,48344,"New Text"
BattleDetailUI,48322,"New Text"
BattleDetailUI,48326,"New Text"
BattleDetailUI,48334,"New Text"
BattleDetailUI,48330,"New Text"
BattleDetailUI,47832,"New Text"
BattleDetailUI,48060,"Toggle"
BattleDetailUI,48064,"Toggle"
BattleDetailUI,47942,"领取"
BattleDetailUI,47974,"领取"
BattleDetailUI,48002,"领取"
BattleDetailUI,47784,"New Text"
BattleDetailUI,47878,"New Text"
BattleDetailUI,47780,"New Text"
BattleDetailUI,47794,"New Text"
BattleDetailUI,47826,"New Text"
BattleDetailUI,47818,"New Text"
BattleDetailUI,48456,"New Text"
BattleDetailUI,48440,"New Text"
BattleDetailUI,48480,"New Text"
BattleDetailUI,48448,"New Text"
BattleDetailUI,48460,"New Text"
BattleDetailUI,48488,"New Text"
BattleDetailUI,47980,"New Text"
BattleDetailUI,48186,"Toggle"
BattleDetailUI,48182,"Toggle"
BattleDetailUI,48080,"领取"
BattleDetailUI,48094,"领取"
BattleDetailUI,48068,"领取"
BattleResultUI,49092,"New Text"
BattleResultUI,49016,"New Text"
BattleResultUI,49002,"fawfawf"
BattleResultUI,49124,"New Text"
BattleResultUI,49078,"48484854
111
111"
BattleResultUI,49120,"48484854"
BattleResultUI,49252,"1000"
BattleResultUI,48994,"48484854"
BattleResultUI,49060,"New Text"
BattleResultUI,49112,"New Text"
BattleResultUI,49056,"New Text"
BattleResultUI,49116,"48484854"
BattleResultUI,49236,"领取"
BattleResultUI,49198,"New Text"
BattleResultUI,48830,"40"
BattleResultUI,49050,"领取"
BattleResultUI2,49868,"New Text"
BattleResultUI2,49814,"New Text"
BattleResultUI2,49744,"fawfawf"
BattleResultUI2,49732,"New Text"
BattleResultUI2,49852,"48484854"
BattleResultUI2,49736,"48484854"
BattleResultUI2,50010,"1000"
BattleResultUI2,49824,"48484854"
BattleResultUI2,49792,"New Text"
BattleResultUI2,49806,"New Text"
BattleResultUI2,49848,"New Text"
BattleResultUI2,49796,"48484854"
BattleResultUI2,49992,"领取"
